what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1424604490281
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1424604490282
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1424604490285
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1424604490292
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1424604490294
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.3.v20130107-0100,"org.eclipse.mylyn.bugzilla.core",1424604490295
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.bugzilla.ui",1424604490296
started,bundle,org.eclipse.mylyn.commons.core,3.8.3.v20130107-0100,"org.eclipse.mylyn.commons.core",1424604490296
started,bundle,org.eclipse.mylyn.commons.net,3.8.3.v20130107-0100,"org.eclipse.mylyn.commons.net",1424604490296
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.3.v20130107-0100,"org.eclipse.mylyn.commons.notifications.core",1424604490297
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.3.v20130107-0100,"org.eclipse.mylyn.commons.notifications.feed",1424604490297
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.3.v20130107-0100,"org.eclipse.mylyn.commons.notifications.ui",1424604490298
started,bundle,org.eclipse.mylyn.commons.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.commons.ui",1424604490300
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.3.v20130107-0100,"org.eclipse.mylyn.commons.workbench",1424604490301
started,bundle,org.eclipse.mylyn.context.core,3.8.3.v20130107-0100,"org.eclipse.mylyn.context.core",1424604490301
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.context.tasks.ui",1424604490302
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.monitor.ui",1424604490303
started,bundle,org.eclipse.mylyn.tasks.index.core,3.8.3.v20130107-0100,"org.eclipse.mylyn.tasks.index.core",1424604490304
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.tasks.ui",1424604490306
started,bundle,org.eclipse.mylyn.team.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.team.ui",1424604490307
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1424604490308
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1424604490308
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1424604490311
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1424604490312
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1424604490314
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1424604490314
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1424604490314
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1424604490315
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1424604490318
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1424604490319
os,sysinfo,,,"win32",1424604490322
arch,sysinfo,,,"x86",1424604490322
ws,sysinfo,,,"win32",1424604490322
locale,sysinfo,,,"zh_CN",1424604490322
processors,sysinfo,,,"4",1424604490322
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1424604490322
java.runtime.version,sysinfo,,,"1.8.0_25-b18",1424604490322
java.specification.name,sysinfo,,,"Java Platform API Specification",1424604490322
java.specification.vendor,sysinfo,,,"Oracle Corporation",1424604490322
java.specification.version,sysinfo,,,"1.8",1424604490322
java.vendor,sysinfo,,,"Oracle Corporation",1424604490322
java.version,sysinfo,,,"1.8.0_25",1424604490322
java.vm.info,sysinfo,,,"mixed mode, sharing",1424604490322
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1424604490322
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1424604490322
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1424604490322
java.vm.specification.version,sysinfo,,,"1.8",1424604490322
java.vm.vendor,sysinfo,,,"Oracle Corporation",1424604490322
java.vm.version,sysinfo,,,"25.25-b02",1424604490322
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1424604490444
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1424604490465
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1424604490486
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1424604494760
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1424604494779
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424604496366
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1424604517813
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424604696543
started,bundle,org.eclipse.gmf.xpand.migration,1.0.0.v20090608-0720,"org.eclipse.gmf.xpand.migration",1424604696608
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1424604699455
