what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.index.core,3.8.3.v20130107-0100,"org.eclipse.mylyn.tasks.index.core",1424606997888
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.tasks.ui",1424606997890
started,bundle,org.eclipse.mylyn.team.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.team.ui",1424606997891
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1424606997892
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1424606997893
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1424606997895
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1424606997896
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1424606997898
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1424606997899
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1424606997900
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1424606997901
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1424606997903
os,sysinfo,,,"win32",1424606997906
arch,sysinfo,,,"x86",1424606997906
ws,sysinfo,,,"win32",1424606997906
locale,sysinfo,,,"zh_CN",1424606997906
processors,sysinfo,,,"4",1424606997906
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1424606997906
java.runtime.version,sysinfo,,,"1.8.0_25-b18",1424606997906
java.specification.name,sysinfo,,,"Java Platform API Specification",1424606997906
java.specification.vendor,sysinfo,,,"Oracle Corporation",1424606997906
java.specification.version,sysinfo,,,"1.8",1424606997906
java.vendor,sysinfo,,,"Oracle Corporation",1424606997906
java.version,sysinfo,,,"1.8.0_25",1424606997906
java.vm.info,sysinfo,,,"mixed mode, sharing",1424606997906
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1424606997906
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1424606997906
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1424606997906
java.vm.specification.version,sysinfo,,,"1.8",1424606997906
java.vm.vendor,sysinfo,,,"Oracle Corporation",1424606997906
java.vm.version,sysinfo,,,"25.25-b02",1424606997906
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1424607003693
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1424607003695
started,bundle,org.eclipse.equinox.p2.metadata,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.metadata",1424607003902
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424607004560
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1424607005506
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.101.R35x_20100105,"org.eclipse.equinox.p2.updatesite",1424607006092
started,bundle,org.eclipse.equinox.p2.publisher,1.0.1.R35x_20100105,"org.eclipse.equinox.p2.publisher",1424607006138
error,log,,,"Unable to load the repository http://www.soyatec.com/euml2",1424607006468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424607007179
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1424607007188
error,log,,,"Unable to load the repository http://download.eclipse.org/tools/ve/updates/1.4",1424607009319
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424607012657
error,log,,,"Unable to load the repository http://download.eclipse.org/tools/mylyn/update/e3.4/",1424607013627
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1424607019265
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1424607019312
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1424607019358
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424607023776
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1424607025759
started,bundle,org.eclipse.gmf.xpand.migration,1.0.0.v20090608-0720,"org.eclipse.gmf.xpand.migration",1424607025874
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1424607038397
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1424607040457
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1424607040688
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424607052154
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424607053683
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424607062301
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424607084065
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.update",1424607102329
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.101.R35x_v20090721,"org.eclipse.equinox.p2.artifact.repository",1424607103361
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,1.0.101.R35x_20090820-1821,"org.eclipse.equinox.p2.touchpoint.eclipse",1424607104164
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424607104640
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424607107189
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1424607108090
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1424607124617
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424607125345
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424607163851
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424607168546
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424607169879
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1424607170001
stopped,bundle,org.eclipse.team.cvs.ssh2,3.2.200.I20090508-2000,"org.eclipse.team.cvs.ssh2",1424607170240
stopped,bundle,org.eclipse.team.cvs.ssh,3.2.100.I20090508-2000,"org.eclipse.team.cvs.ssh",1424607170241
stopped,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1424607170241
stopped,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1424607170242
stopped,bundle,org.eclipse.jsch.ui,1.1.200.r35x_20100210-1114,"org.eclipse.jsch.ui",1424607170243
stopped,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1424607170243
stopped,bundle,org.eclipse.help.webapp,3.4.1.v20091009_35x,"org.eclipse.help.webapp",1424607170245
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1424607170246
stopped,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1424607170247
